"Fleet","Fleet_name","Area","Seas","Obs","Exp","SE","SE_input","year","model_run","iteration","scenario"
1,"Comm",1,1,1,47.5353,0.1,0.1,66,"om","1","opaka-sim"
1,"Comm",1,1,1,49.3073,0.1,0.1,67,"om","1","opaka-sim"
1,"Comm",1,1,1,50.3536,0.1,0.1,68,"om","1","opaka-sim"
1,"Comm",1,1,1,52.258,0.1,0.1,69,"om","1","opaka-sim"
1,"Comm",1,1,1,52.6774,0.1,0.1,70,"om","1","opaka-sim"
1,"Comm",1,1,1,54.8946,0.1,0.1,71,"om","1","opaka-sim"
1,"Comm",1,1,1,59.6318,0.1,0.1,72,"om","1","opaka-sim"
1,"Comm",1,1,1,64.8162,0.1,0.1,73,"om","1","opaka-sim"
1,"Comm",1,1,1,66.2508,0.1,0.1,74,"om","1","opaka-sim"
1,"Comm",1,1,1,64.818,0.1,0.1,75,"om","1","opaka-sim"
3,"ResFish",1,1,1,1.91775,0.1,0.1,69,"om","1","opaka-sim"
3,"ResFish",1,1,1,1.98947,0.1,0.1,70,"om","1","opaka-sim"
3,"ResFish",1,1,1,2.18935,0.1,0.1,71,"om","1","opaka-sim"
3,"ResFish",1,1,1,2.56478,0.1,0.1,72,"om","1","opaka-sim"
3,"ResFish",1,1,1,2.76702,0.1,0.1,73,"om","1","opaka-sim"
3,"ResFish",1,1,1,2.55575,0.1,0.1,74,"om","1","opaka-sim"
3,"ResFish",1,1,1,2.10628,0.1,0.1,75,"om","1","opaka-sim"
1,"Comm",1,1,102.955,96.8679,0.13,0.13,1,"em","2","opaka-sim"
1,"Comm",1,1,98.8081,94.6346,0.13,0.13,2,"em","2","opaka-sim"
1,"Comm",1,1,80.7412,93.6945,0.13,0.13,3,"em","2","opaka-sim"
1,"Comm",1,1,81.6377,92.1997,0.13,0.13,4,"em","2","opaka-sim"
1,"Comm",1,1,88.1201,90.6629,0.13,0.13,5,"em","2","opaka-sim"
1,"Comm",1,1,87.801,90.2486,0.13,0.13,6,"em","2","opaka-sim"
1,"Comm",1,1,96.8679,90.012,0.13,0.13,7,"em","2","opaka-sim"
1,"Comm",1,1,92.6046,88.3499,0.13,0.13,8,"em","2","opaka-sim"
1,"Comm",1,1,79.2669,86.8468,0.13,0.13,9,"em","2","opaka-sim"
1,"Comm",1,1,94.2336,85.2606,0.13,0.13,10,"em","2","opaka-sim"
1,"Comm",1,1,69.2605,83.7977,0.13,0.13,11,"em","2","opaka-sim"
1,"Comm",1,1,107.278,83.551,0.13,0.13,12,"em","2","opaka-sim"
1,"Comm",1,1,86.0775,82.0291,0.13,0.13,13,"em","2","opaka-sim"
1,"Comm",1,1,60.3705,80.1314,0.13,0.13,14,"em","2","opaka-sim"
1,"Comm",1,1,90.8641,79.8119,0.13,0.13,15,"em","2","opaka-sim"
1,"Comm",1,1,78.3026,79.5811,0.13,0.13,16,"em","2","opaka-sim"
1,"Comm",1,1,83.7434,78.8359,0.13,0.13,17,"em","2","opaka-sim"
1,"Comm",1,1,81.3021,76.8868,0.13,0.13,18,"em","2","opaka-sim"
1,"Comm",1,1,71.7998,74.1819,0.13,0.13,19,"em","2","opaka-sim"
1,"Comm",1,1,66.9528,71.424,0.13,0.13,20,"em","2","opaka-sim"
1,"Comm",1,1,69.8507,68.9399,0.13,0.13,21,"em","2","opaka-sim"
1,"Comm",1,1,70.0072,66.3866,0.13,0.13,22,"em","2","opaka-sim"
1,"Comm",1,1,58.8991,63.8131,0.13,0.13,23,"em","2","opaka-sim"
1,"Comm",1,1,64.6767,61.4395,0.13,0.13,24,"em","2","opaka-sim"
1,"Comm",1,1,57.9291,58.4857,0.13,0.13,25,"em","2","opaka-sim"
1,"Comm",1,1,65.7207,55.1081,0.13,0.13,26,"em","2","opaka-sim"
1,"Comm",1,1,59.3619,51.7844,0.13,0.13,27,"em","2","opaka-sim"
1,"Comm",1,1,50.7254,48.7368,0.13,0.13,28,"em","2","opaka-sim"
1,"Comm",1,1,34.4527,45.8856,0.13,0.13,29,"em","2","opaka-sim"
1,"Comm",1,1,39.086,45.6331,0.13,0.13,30,"em","2","opaka-sim"
